sku,nombre,zona,rack_id,cantidad,peso_kg,categoria
SKU-0029,Cerveza Premium 6pack #25,TC,TC-R15-C8,96,1.2,bebidas_frias
SKU-0030,Lomo de Cerdo 1kg #85,TC,TC-R31-C6,191,0.14,bebidas_frias
SKU-0031,Jabón Lavavajillas 500ml #14,DRY,DRY-R25-C46,126,1.11,abarrotes
SKU-0032,Pechuga de Pollo 1kg #79,TC,TC-R14-C5,235,3.64,farmacia
SKU-0033,Atún en Conserva 170g #70,DRY,DRY-R15-C51,54,2.9,electro
SKU-0034,Audífonos Bluetooth #62,DRY,DRY-R19-C54,32,12.96,snacks
SKU-0035,Arroz Extra 5kg #17,DRY,DRY-R10-C51,414,10.94,juguetes
SKU-0036,Aceite Vegetal 1L #34,DRY,DRY-R33-C57,221,6.76,abarrotes
SKU-0037,Lomo de Cerdo 1kg #19,TC,TC-R29-C12,229,4.06,farmacia
SKU-0038,Libro Novela Ficción #79,DRY,DRY-R20-C30,479,14.54,limpieza
SKU-0039,Fideos Tallarín 500g #62,DRY,DRY-R8-C55,447,7.25,abarrotes
SKU-0040,Fideos Tallarín 500g #58,DRY,DRY-R6-C30,140,14.78,limpieza
SKU-0041,Cargador Carga Rápida #46,DRY,DRY-R33-C51,379,10.46,libros
SKU-0042,Cuaderno Espiral A4 #72,DRY,DRY-R18-C37,116,2.89,hogar
SKU-0043,Set de Cubiertos x24 #17,DRY,DRY-R6-C46,304,0.9,hogar
SKU-0044,Toalla de Baño #30,DRY,DRY-R4-C33,46,14.41,libros
SKU-0045,Bloques de Construcción #18,DRY,DRY-R13-C42,487,6.09,limpieza
SKU-0046,Muñeca de Moda #86,DRY,DRY-R16-C31,219,9.31,abarrotes
SKU-0047,Toalla de Baño #50,DRY,DRY-R10-C43,371,3.1,hogar
SKU-0048,Suero Fisiológico #26,TC,TC-R30-C18,127,3.26,congelados
SKU-0049,Leche UHT 1L #68,TC,TC-R34-C17,35,4.99,lacteos
SKU-0050,Helado de Vainilla 1L #26,TC,TC-R8-C11,235,4.42,carnes
SKU-0051,Salchicha Viena x10 #66,TC,TC-R26-C23,87,2.76,congelados
SKU-0052,Libro Novela Ficción #77,DRY,DRY-R13-C30,288,10.03,libros
SKU-0053,Mantequilla con sal 200g #43,TC,TC-R5-C5,200,4.46,lacteos
SKU-0054,Papas Pringles Original #87,DRY,DRY-R17-C40,109,10.78,snacks
SKU-0055,Galletas de Soda x12 #74,DRY,DRY-R11-C55,469,3.8,libros
SKU-0056,Libro Novela Ficción #64,DRY,DRY-R28-C43,175,0.71,limpieza
SKU-0057,Galletas de Soda x12 #30,DRY,DRY-R22-C52,223,8.3,juguetes
SKU-0058,Jabón Lavavajillas 500ml #98,DRY,DRY-R11-C37,432,8.21,limpieza
SKU-0059,Mantequilla con sal 200g #65,TC,TC-R11-C5,103,0.3,bebidas_frias
SKU-0060,Detergente Líquico 3L #55,DRY,DRY-R17-C40,346,10.25,libros
SKU-0061,Bebida Energética 500ml #89,TC,TC-R10-C21,248,0.86,bebidas_frias
SKU-0062,Salchicha Viena x10 #62,TC,TC-R17-C2,246,0.98,carnes
SKU-0063,Lomo de Cerdo 1kg #44,TC,TC-R29-C5,37,3.96,farmacia
SKU-0064,Agua Mineral Fria 1.5L #38,TC,TC-R20-C6,127,4.1,lacteos
SKU-0065,Lomo de Cerdo 1kg #13,TC,TC-R23-C18,94,1.05,carnes
SKU-0066,Helado de Vainilla 1L #54,TC,TC-R14-C18,183,2.6,lacteos
SKU-0067,Ch chocolates Milk 100g #13,DRY,DRY-R6-C36,138,13.16,hogar
SKU-0068,Jugo Naranja 2L #23,TC,TC-R20-C17,196,2.23,congelados
SKU-0069,Bloques de Construcción #75,DRY,DRY-R6-C36,300,5.81,electro
SKU-0070,Bebida Energética 500ml #10,TC,TC-R9-C15,147,4.64,lacteos
SKU-0071,Cuaderno Espiral A4 #35,DRY,DRY-R30-C48,490,6.5,juguetes
SKU-0072,Bloques de Construcción #50,DRY,DRY-R16-C36,158,10.81,snacks
SKU-0073,Audífonos Bluetooth #51,DRY,DRY-R10-C51,288,10.47,juguetes
SKU-0074,Suero Fisiológico #96,TC,TC-R10-C21,167,4.52,farmacia
SKU-0075,Set de Cubiertos x24 #10,DRY,DRY-R27-C45,225,4.34,electro
SKU-0076,Libro Novela Ficción #51,DRY,DRY-R17-C54,350,6.65,hogar
SKU-0077,Salchicha Viena x10 #94,TC,TC-R19-C3,179,1.49,farmacia
SKU-0078,Jabón Lavavajillas 500ml #40,DRY,DRY-R33-C45,106,3.41,snacks
SKU-0079,Lomo de Cerdo 1kg #70,TC,TC-R28-C17,28,4.26,lacteos
SKU-0080,Muñeca de Moda #34,DRY,DRY-R21-C49,129,7.44,juguetes
SKU-0081,Queso Edam 500g #64,TC,TC-R31-C6,188,0.96,lacteos
SKU-0082,Set de Cubiertos x24 #41,DRY,DRY-R13-C36,415,6.87,limpieza
SKU-0083,Set de Cubiertos x24 #86,DRY,DRY-R9-C46,461,14.25,hogar
SKU-0084,Toalla de Baño #64,DRY,DRY-R15-C58,86,6.72,libros
SKU-0085,Cargador Carga Rápida #43,DRY,DRY-R27-C42,146,12.61,electro
SKU-0086,Sartén Antiadherente 24cm #90,DRY,DRY-R17-C42,44,4.16,hogar
SKU-0087,Galletas de Soda x12 #52,DRY,DRY-R13-C46,46,13.4,abarrotes
SKU-0088,Suero Fisiológico #98,TC,TC-R26-C5,26,3.56,carnes
SKU-0089,Set de Cubiertos x24 #69,DRY,DRY-R25-C51,431,0.98,snacks
SKU-0090,Muñeca de Moda #99,DRY,DRY-R26-C30,396,12.86,libros
SKU-0091,Papel Toalla x6 #55,DRY,DRY-R20-C45,441,11.31,electro
SKU-0092,Audífonos Bluetooth #78,DRY,DRY-R13-C58,464,12.01,libros
SKU-0093,Helado de Vainilla 1L #65,TC,TC-R21-C14,96,0.24,carnes
SKU-0094,Té Filtrante 100un #31,DRY,DRY-R19-C54,323,13.8,libros
SKU-0095,Muñeca de Moda #82,DRY,DRY-R33-C30,224,1.31,electro
SKU-0096,Salchicha Viena x10 #16,TC,TC-R22-C8,64,1.96,farmacia
SKU-0097,Té Filtrante 100un #45,DRY,DRY-R31-C51,46,3.82,snacks
SKU-0098,Set de Cubiertos x24 #16,DRY,DRY-R15-C48,40,3.4,juguetes
SKU-0099,Detergente Líquico 3L #13,DRY,DRY-R27-C42,15,3.03,juguetes
SKU-0100,Azúcar Rubia 1kg #70,DRY,DRY-R5-C36,116,8.48,abarrotes
SKU-0101,Café Instantáneo 200g #31,DRY,DRY-R5-C36,88,11.68,snacks
SKU-0102,Muñeca de Moda #13,DRY,DRY-R4-C46,469,8.66,limpieza
SKU-0103,Aceite Vegetal 1L #19,DRY,DRY-R21-C42,400,1.57,electro
SKU-0104,Queso Edam 500g #82,TC,TC-R29-C21,146,0.3,bebidas_frias
SKU-0105,Jabón Lavavajillas 500ml #74,DRY,DRY-R5-C48,220,0.24,snacks
SKU-0106,Audífonos Bluetooth #56,DRY,DRY-R10-C54,227,10.62,limpieza
SKU-0107,Helado de Vainilla 1L #88,TC,TC-R11-C23,208,4.61,bebidas_frias
SKU-0108,Muñeca de Moda #44,DRY,DRY-R16-C46,430,12.78,electro
SKU-0109,Cargador Carga Rápida #41,DRY,DRY-R16-C54,347,8.57,snacks
SKU-0110,Agua Mineral Fria 1.5L #51,TC,TC-R10-C6,100,2.49,lacteos
SKU-0111,Galletas de Soda x12 #86,DRY,DRY-R27-C43,269,8.36,snacks
SKU-0112,Atún en Conserva 170g #62,DRY,DRY-R11-C55,128,8.35,limpieza
SKU-0113,Sartén Antiadherente 24cm #67,DRY,DRY-R22-C30,118,1.44,juguetes
SKU-0114,Papas Pringles Original #94,DRY,DRY-R4-C49,276,7.13,abarrotes
SKU-0115,Vacuna Gripe A #55,TC,TC-R16-C20,88,2.32,bebidas_frias
SKU-0116,Pechuga de Pollo 1kg #50,TC,TC-R7-C5,205,3.74,lacteos
SKU-0117,Aceite Vegetal 1L #71,DRY,DRY-R28-C43,394,10.88,abarrotes
SKU-0118,Arroz Extra 5kg #34,DRY,DRY-R18-C45,96,3.45,snacks
SKU-0119,Mantequilla con sal 200g #45,TC,TC-R29-C2,151,4.87,bebidas_frias
SKU-0120,Agua Mineral Fria 1.5L #23,TC,TC-R16-C24,82,0.16,carnes
SKU-0121,Ch chocolates Milk 100g #33,DRY,DRY-R29-C31,446,3.82,electro
SKU-0122,Jabón Lavavajillas 500ml #61,DRY,DRY-R15-C55,327,1.16,libros
SKU-0123,Azúcar Rubia 1kg #82,DRY,DRY-R27-C45,132,1.32,abarrotes
SKU-0124,Lomo de Cerdo 1kg #76,TC,TC-R26-C11,123,2.31,farmacia
SKU-0125,Bebida Energética 500ml #49,TC,TC-R5-C17,166,3.14,bebidas_frias
SKU-0126,Aceite Vegetal 1L #90,DRY,DRY-R18-C40,46,4.01,limpieza
SKU-0127,Yogurt Natural 1kg #30,TC,TC-R5-C2,186,2.1,carnes
SKU-0128,Detergente Líquico 3L #39,DRY,DRY-R9-C45,364,10.62,snacks
SKU-0129,Cuaderno Espiral A4 #39,DRY,DRY-R14-C43,325,11.83,limpieza
SKU-0130,Aceite Vegetal 1L #64,DRY,DRY-R5-C36,336,8.19,libros
SKU-0131,Mantequilla con sal 200g #19,TC,TC-R5-C3,88,0.91,congelados
SKU-0132,Muñeca de Moda #46,DRY,DRY-R19-C52,357,1.91,libros
SKU-0133,Helado de Vainilla 1L #74,TC,TC-R20-C15,30,2.52,farmacia
SKU-0134,Ch chocolates Milk 100g #87,DRY,DRY-R30-C42,122,0.44,electro
SKU-0135,Muñeca de Moda #85,DRY,DRY-R27-C30,349,14.99,libros
SKU-0136,Detergente Líquico 3L #32,DRY,DRY-R22-C54,231,7.81,hogar
SKU-0137,Muñeca de Moda #65,DRY,DRY-R15-C55,245,14.54,abarrotes
SKU-0138,Vacuna Gripe A #95,TC,TC-R30-C3,94,4.3,congelados
SKU-0139,Papas Pringles Original #94,DRY,DRY-R8-C51,286,12.21,electro
SKU-0140,Vacuna Gripe A #42,TC,TC-R26-C9,207,0.67,lacteos
SKU-0141,Papel Toalla x6 #94,DRY,DRY-R8-C58,32,6.96,hogar
SKU-0142,Agua Mineral Fria 1.5L #90,TC,TC-R29-C12,62,3.82,congelados
SKU-0143,Papas Fritas Congeladas 1kg #66,TC,TC-R20-C24,41,3.52,carnes
SKU-0144,Lomo de Cerdo 1kg #30,TC,TC-R19-C9,151,2.8,bebidas_frias
SKU-0145,Arroz Extra 5kg #69,DRY,DRY-R8-C36,83,9.73,abarrotes
SKU-0146,Papas Pringles Original #75,DRY,DRY-R23-C43,252,6.26,juguetes
SKU-0147,Cargador Carga Rápida #80,DRY,DRY-R7-C37,476,5.78,abarrotes
SKU-0148,Azúcar Rubia 1kg #18,DRY,DRY-R27-C43,442,11.6,juguetes
SKU-0149,Toalla de Baño #44,DRY,DRY-R6-C30,157,4.28,libros
SKU-0150,Cuaderno Espiral A4 #72,DRY,DRY-R11-C37,252,6.73,hogar
SKU-0151,Suero Fisiológico #68,TC,TC-R25-C9,188,4.36,bebidas_frias
SKU-0152,Lomo de Cerdo 1kg #62,TC,TC-R28-C2,131,1.66,farmacia
SKU-0153,Té Filtrante 100un #59,DRY,DRY-R15-C37,23,7.46,libros
SKU-0154,Vacuna Gripe A #22,TC,TC-R17-C24,35,4.24,bebidas_frias
SKU-0155,Papel Toalla x6 #28,DRY,DRY-R18-C51,84,13.07,electro
SKU-0156,Vacuna Gripe A #89,TC,TC-R10-C20,30,2.05,congelados
SKU-0157,Cuaderno Espiral A4 #78,DRY,DRY-R17-C49,325,14.31,libros
SKU-0158,Sartén Antiadherente 24cm #79,DRY,DRY-R11-C31,125,9.28,libros
SKU-0159,Atún en Conserva 170g #21,DRY,DRY-R14-C52,394,14.68,snacks
SKU-0160,Arroz Extra 5kg #66,DRY,DRY-R31-C37,467,10.43,libros
SKU-0161,Jugo Naranja 2L #47,TC,TC-R14-C11,47,1.94,congelados
SKU-0162,Salchicha Viena x10 #31,TC,TC-R6-C6,232,0.49,farmacia
SKU-0163,Agua Mineral Fria 1.5L #84,TC,TC-R20-C5,173,1.24,carnes
SKU-0164,Leche UHT 1L #69,TC,TC-R32-C24,149,1.51,congelados
SKU-0165,Insulina Rápida #85,TC,TC-R13-C9,118,3.23,farmacia
SKU-0166,Papas Pringles Original #35,DRY,DRY-R21-C49,59,12.81,electro
SKU-0167,Insulina Rápida #83,TC,TC-R10-C9,85,4.96,bebidas_frias
SKU-0168,Helado de Vainilla 1L #11,TC,TC-R34-C15,209,4.34,farmacia
SKU-0169,Bloques de Construcción #73,DRY,DRY-R7-C45,122,11.65,limpieza
SKU-0170,Atún en Conserva 170g #91,DRY,DRY-R26-C39,352,9.33,snacks
SKU-0171,Cuaderno Espiral A4 #97,DRY,DRY-R30-C36,467,9.44,libros
SKU-0172,Papas Pringles Original #66,DRY,DRY-R9-C31,379,8.71,limpieza
SKU-0173,Vacuna Gripe A #63,TC,TC-R6-C6,211,1.08,congelados
SKU-0174,Toalla de Baño #74,DRY,DRY-R23-C43,136,12.47,snacks
SKU-0175,Papas Pringles Original #53,DRY,DRY-R5-C36,43,7.05,electro
SKU-0176,Suero Fisiológico #81,TC,TC-R18-C11,111,0.54,carnes
SKU-0177,Queso Edam 500g #68,TC,TC-R19-C11,182,3.4,bebidas_frias
SKU-0178,Insulina Rápida #23,TC,TC-R32-C18,16,1.25,farmacia
SKU-0179,Ch chocolates Milk 100g #88,DRY,DRY-R29-C40,330,9.73,hogar
SKU-0180,Papas Pringles Original #93,DRY,DRY-R17-C51,28,1.79,juguetes
SKU-0181,Sartén Antiadherente 24cm #24,DRY,DRY-R17-C34,280,3.56,snacks
SKU-0182,Insulina Rápida #95,TC,TC-R7-C21,148,3.51,farmacia
SKU-0183,Azúcar Rubia 1kg #63,DRY,DRY-R19-C34,320,12.51,juguetes
SKU-0184,Detergente Líquico 3L #98,DRY,DRY-R6-C49,232,3.3,snacks
SKU-0185,Café Instantáneo 200g #22,DRY,DRY-R34-C48,335,8.19,libros
SKU-0186,Helado de Vainilla 1L #34,TC,TC-R8-C5,220,4.75,farmacia
SKU-0187,Aceite Vegetal 1L #92,DRY,DRY-R27-C30,175,0.81,juguetes
SKU-0188,Pechuga de Pollo 1kg #18,TC,TC-R23-C23,63,3.85,carnes
SKU-0189,Atún en Conserva 170g #52,DRY,DRY-R10-C37,310,11.84,libros
SKU-0190,Mantequilla con sal 200g #79,TC,TC-R17-C8,38,4.01,carnes
SKU-0191,Azúcar Rubia 1kg #11,DRY,DRY-R23-C48,126,11.86,limpieza
SKU-0192,Fideos Tallarín 500g #43,DRY,DRY-R30-C31,220,1.95,limpieza
SKU-0193,Jabón Lavavajillas 500ml #70,DRY,DRY-R30-C52,267,11.68,juguetes
SKU-0194,Toalla de Baño #38,DRY,DRY-R20-C31,470,10.92,electro
SKU-0195,Papas Pringles Original #68,DRY,DRY-R6-C31,250,0.96,hogar
SKU-0196,Cuaderno Espiral A4 #23,DRY,DRY-R14-C55,232,10.7,electro
SKU-0197,Vacuna Gripe A #87,TC,TC-R22-C5,80,0.42,lacteos
SKU-0198,Set de Cubiertos x24 #51,DRY,DRY-R18-C49,276,14.92,hogar
SKU-0199,Bebida Energética 500ml #22,TC,TC-R4-C23,228,3.54,bebidas_frias
SKU-0200,Set de Cubiertos x24 #37,DRY,DRY-R9-C52,121,6.8,libros
SKU-0201,Cargador Carga Rápida #61,DRY,DRY-R25-C51,165,10.96,libros
SKU-0202,Galletas de Soda x12 #57,DRY,DRY-R16-C37,247,10.32,juguetes
SKU-0203,Yogurt Natural 1kg #65,TC,TC-R26-C3,105,3.75,lacteos
SKU-0204,Detergente Líquico 3L #85,DRY,DRY-R30-C58,348,8.45,hogar
SKU-0205,Bebida Energética 500ml #16,TC,TC-R6-C9,100,3.04,congelados
SKU-0206,Pechuga de Pollo 1kg #29,TC,TC-R22-C18,226,2.46,bebidas_frias
SKU-0207,Insulina Rápida #24,TC,TC-R18-C21,67,1.46,bebidas_frias
SKU-0208,Set de Cubiertos x24 #89,DRY,DRY-R25-C58,480,0.44,libros
SKU-0209,Galletas de Soda x12 #13,DRY,DRY-R15-C39,395,4.14,juguetes
SKU-0210,Insulina Rápida #10,TC,TC-R9-C6,154,4.36,congelados
SKU-0211,Azúcar Rubia 1kg #91,DRY,DRY-R6-C31,276,1.42,limpieza
SKU-0212,Cerveza Premium 6pack #53,TC,TC-R28-C5,194,1.91,farmacia
SKU-0213,Yogurt Natural 1kg #16,TC,TC-R27-C5,168,0.87,bebidas_frias
SKU-0214,Helado de Vainilla 1L #66,TC,TC-R25-C18,165,2.18,lacteos
SKU-0215,Aceite Vegetal 1L #75,DRY,DRY-R4-C36,61,5.21,snacks
SKU-0216,Agua Mineral Fria 1.5L #77,TC,TC-R28-C18,66,1.61,bebidas_frias
SKU-0217,Jugo Naranja 2L #10,TC,TC-R22-C6,64,1.58,bebidas_frias
SKU-0218,Galletas de Soda x12 #47,DRY,DRY-R21-C46,259,1.84,libros
SKU-0219,Azúcar Rubia 1kg #58,DRY,DRY-R29-C57,261,10.57,abarrotes
SKU-0220,Café Instantáneo 200g #19,DRY,DRY-R4-C51,26,12.93,juguetes
SKU-0221,Jabón Lavavajillas 500ml #50,DRY,DRY-R8-C52,368,8.62,electro
SKU-0222,Arroz Extra 5kg #61,DRY,DRY-R27-C30,92,14.49,snacks
SKU-0223,Cargador Carga Rápida #98,DRY,DRY-R28-C48,437,1.37,hogar
SKU-0224,Suero Fisiológico #77,TC,TC-R16-C3,89,2.04,farmacia
SKU-0225,Ch chocolates Milk 100g #31,DRY,DRY-R26-C33,63,7.68,abarrotes
SKU-0226,Café Instantáneo 200g #54,DRY,DRY-R10-C37,79,3.58,abarrotes
SKU-0227,Mantequilla con sal 200g #93,TC,TC-R14-C3,207,0.97,carnes
SKU-0228,Muñeca de Moda #84,DRY,DRY-R30-C52,456,10.23,electro
SKU-0229,Bloques de Construcción #51,DRY,DRY-R8-C46,39,2.31,juguetes
SKU-0230,Papas Pringles Original #45,DRY,DRY-R34-C31,42,5.31,juguetes
SKU-0231,Jugo Naranja 2L #17,TC,TC-R19-C11,29,4.18,farmacia
SKU-0232,Jabón Lavavajillas 500ml #88,DRY,DRY-R32-C55,302,5.8,libros
SKU-0233,Detergente Líquico 3L #67,DRY,DRY-R23-C39,248,4.86,libros
SKU-0234,Cargador Carga Rápida #23,DRY,DRY-R7-C48,48,14.74,limpieza
SKU-0235,Detergente Líquico 3L #41,DRY,DRY-R18-C52,273,14.87,abarrotes
SKU-0236,Café Instantáneo 200g #57,DRY,DRY-R34-C43,401,5.84,abarrotes
SKU-0237,Jugo Naranja 2L #90,TC,TC-R17-C18,94,1.74,bebidas_frias
SKU-0238,Papas Fritas Congeladas 1kg #42,TC,TC-R28-C20,242,4.27,farmacia
SKU-0239,Ch chocolates Milk 100g #20,DRY,DRY-R34-C36,163,13.76,abarrotes
SKU-0240,Cuaderno Espiral A4 #60,DRY,DRY-R21-C36,485,8.95,juguetes
SKU-0241,Suero Fisiológico #92,TC,TC-R34-C21,42,1.71,bebidas_frias
SKU-0242,Cuaderno Espiral A4 #77,DRY,DRY-R13-C34,221,9.71,libros
SKU-0243,Café Instantáneo 200g #49,DRY,DRY-R15-C39,179,14.27,limpieza
SKU-0244,Aceite Vegetal 1L #38,DRY,DRY-R30-C36,156,2.37,electro
SKU-0245,Toalla de Baño #79,DRY,DRY-R22-C57,177,0.61,limpieza
SKU-0246,Azúcar Rubia 1kg #86,DRY,DRY-R13-C49,97,2.36,hogar
SKU-0247,Bloques de Construcción #31,DRY,DRY-R18-C52,191,0.7,libros
SKU-0248,Cargador Carga Rápida #88,DRY,DRY-R5-C45,406,11.3,abarrotes
SKU-0249,Atún en Conserva 170g #49,DRY,DRY-R21-C54,104,13.56,hogar
SKU-0250,Cerveza Premium 6pack #69,TC,TC-R21-C21,107,1.48,bebidas_frias
SKU-0251,Fideos Tallarín 500g #35,DRY,DRY-R31-C36,31,13.1,electro
SKU-0252,Café Instantáneo 200g #80,DRY,DRY-R23-C34,269,10.69,libros
SKU-0253,Jabón Lavavajillas 500ml #30,DRY,DRY-R23-C43,267,6.77,snacks
SKU-0254,Yogurt Natural 1kg #38,TC,TC-R17-C23,99,2.31,farmacia
SKU-0255,Detergente Líquico 3L #60,DRY,DRY-R27-C55,202,5.64,electro
SKU-0256,Atún en Conserva 170g #13,DRY,DRY-R11-C46,434,13.97,snacks
SKU-0257,Azúcar Rubia 1kg #27,DRY,DRY-R15-C31,429,4.34,snacks
SKU-0258,Azúcar Rubia 1kg #70,DRY,DRY-R30-C52,468,9.25,libros
SKU-0259,Pechuga de Pollo 1kg #29,TC,TC-R25-C15,165,4.71,congelados
SKU-0260,Papas Pringles Original #40,DRY,DRY-R23-C45,127,1.87,limpieza
SKU-0261,Bloques de Construcción #68,DRY,DRY-R10-C33,468,1.71,libros
SKU-0262,Papel Toalla x6 #90,DRY,DRY-R9-C57,372,8.65,hogar
SKU-0263,Leche UHT 1L #88,TC,TC-R10-C11,116,1.28,farmacia
SKU-0264,Insulina Rápida #18,TC,TC-R13-C15,211,2.77,lacteos
SKU-0265,Papel Toalla x6 #59,DRY,DRY-R22-C54,203,0.7,hogar
SKU-0266,Papel Toalla x6 #55,DRY,DRY-R16-C33,380,5.2,snacks
SKU-0267,Muñeca de Moda #52,DRY,DRY-R26-C36,284,0.71,limpieza
SKU-0268,Cerveza Premium 6pack #99,TC,TC-R18-C14,217,3.2,carnes
SKU-0269,Jugo Naranja 2L #47,TC,TC-R21-C6,61,0.31,farmacia
SKU-0270,Papas Pringles Original #75,DRY,DRY-R5-C51,283,14.84,snacks
SKU-0271,Libro Novela Ficción #34,DRY,DRY-R6-C45,404,5.39,limpieza
SKU-0272,Helado de Vainilla 1L #25,TC,TC-R7-C23,237,1.9,congelados
SKU-0273,Té Filtrante 100un #53,DRY,DRY-R22-C39,259,7.47,electro
SKU-0274,Helado de Vainilla 1L #20,TC,TC-R30-C20,120,2.18,bebidas_frias
SKU-0275,Fideos Tallarín 500g #79,DRY,DRY-R15-C45,45,4.85,libros
SKU-0276,Papas Fritas Congeladas 1kg #67,TC,TC-R23-C17,52,3.62,congelados
SKU-0277,Cargador Carga Rápida #15,DRY,DRY-R18-C48,227,9.24,snacks
SKU-0278,Yogurt Natural 1kg #95,TC,TC-R11-C18,141,2.09,lacteos
SKU-0279,Fideos Tallarín 500g #13,DRY,DRY-R5-C37,352,12.74,juguetes
SKU-0280,Azúcar Rubia 1kg #18,DRY,DRY-R14-C42,192,11.69,limpieza
SKU-0281,Jugo Naranja 2L #87,TC,TC-R26-C5,104,3.43,bebidas_frias
SKU-0282,Mantequilla con sal 200g #77,TC,TC-R18-C11,176,2.05,lacteos
SKU-0283,Leche UHT 1L #33,TC,TC-R29-C14,243,2.64,lacteos
SKU-0284,Galletas de Soda x12 #67,DRY,DRY-R21-C40,151,14.95,snacks
SKU-0285,Aceite Vegetal 1L #25,DRY,DRY-R28-C36,236,12.8,electro
SKU-0286,Yogurt Natural 1kg #97,TC,TC-R32-C23,180,4.93,farmacia
SKU-0287,Papas Fritas Congeladas 1kg #48,TC,TC-R4-C24,191,0.87,lacteos
SKU-0288,Fideos Tallarín 500g #56,DRY,DRY-R33-C55,107,3.4,juguetes
SKU-0289,Sartén Antiadherente 24cm #13,DRY,DRY-R27-C48,193,8.33,abarrotes
SKU-0290,Azúcar Rubia 1kg #88,DRY,DRY-R5-C34,208,1.03,hogar
SKU-0291,Sartén Antiadherente 24cm #77,DRY,DRY-R19-C51,426,11.55,juguetes
SKU-0292,Ch chocolates Milk 100g #92,DRY,DRY-R22-C33,353,6.78,abarrotes
SKU-0293,Set de Cubiertos x24 #91,DRY,DRY-R17-C39,71,11.53,abarrotes
SKU-0294,Detergente Líquico 3L #25,DRY,DRY-R13-C57,89,2.34,libros
SKU-0295,Insulina Rápida #76,TC,TC-R29-C24,30,1.49,carnes
SKU-0296,Helado de Vainilla 1L #26,TC,TC-R5-C18,146,1.58,bebidas_frias
SKU-0297,Mantequilla con sal 200g #31,TC,TC-R23-C18,240,3.16,carnes
SKU-0298,Muñeca de Moda #15,DRY,DRY-R4-C31,490,1.26,libros
SKU-0299,Galletas de Soda x12 #93,DRY,DRY-R17-C40,218,11.52,hogar
SKU-0300,Sartén Antiadherente 24cm #90,DRY,DRY-R11-C58,494,4.38,limpieza
SKU-0301,Suero Fisiológico #48,TC,TC-R4-C14,25,0.46,carnes
SKU-0302,Agua Mineral Fria 1.5L #69,TC,TC-R22-C6,46,1.77,farmacia
SKU-0303,Insulina Rápida #61,TC,TC-R13-C5,141,3.83,congelados
SKU-0304,Atún en Conserva 170g #69,DRY,DRY-R14-C36,131,4.05,snacks
SKU-0305,Papas Fritas Congeladas 1kg #59,TC,TC-R11-C24,73,3.12,lacteos
SKU-0306,Ch chocolates Milk 100g #83,DRY,DRY-R5-C46,86,2.89,abarrotes
SKU-0307,Cargador Carga Rápida #73,DRY,DRY-R31-C45,51,7.49,hogar
